unit_id,var_id,year,val,diff,rate,mean,gmean,c_diff,c_rate
061813563011,72305,2013,183108,1080,0.0059331531412750,0.0142570363868015,0.0141884920928017,12455,0.0729843600757092
061813563011,72305,2014,185123,2015,0.0110044345413636,0.0139768652415972,0.0139076719973641,12353,0.0714996816576952
061813563011,72305,2015,185896,773,0.0041756021672077,0.0073697213930454,0.0073650812473107,6697,0.0373718603340420
061813563011,72305,2016,187422,1526,0.0082088909928132,0.0080829229812475,0.0080792021408973,7391,0.0410540406929918
061813563011,72305,2017,189662,2240,0.0119516385483028,0.0082547438781924,0.0082504527712723,7634,0.0419386028523084
061813563011,72305,2018,191564,1902,0.0100283662515422,0.0090737865002459,0.0090700486013031,8456,0.0461803962688686
061813563011,72305,2019,196208,4644,0.0242425507924245,0.0117214097504581,0.0116988731393564,11085,0.0598791074042664
061813563011,72305,2020,196638,430,0.0021915518225557,0.0113245996815277,0.0112987738428021,10742,0.0577849980634333
061813563011,72305,2021,198609,1971,0.0100234949501114,0.0116875204729873,0.0116625450903518,11187,0.0596888305535103
061813603011,72305,1995,48769,,,,,,
061813603011,72305,1996,48962,193,0.0039574319752302,,,,
061813603011,72305,1997,48978,16,0.0003267840365998,,,,
061813603011,72305,1998,49107,129,0.0026338355996570,,,,
061813603011,72305,1999,47897,-1210,-0.0246400716802085,,,,
061813603011,72305,2000,47798,-99,-0.0020669352986617,-0.0039577910734767,-0.0040141352308440,-971,-0.0199101888494741
061813603011,72305,2001,47775,-23,-0.0004811916816603,-0.0048455158048548,-0.0048963728760820,-1187,-0.0242432907152486
061813603011,72305,2002,47664,-111,-0.0023233908948195,-0.0053755507911386,-0.0054241999584806,-1314,-0.0268283719220875
061813603011,72305,2003,47403,-261,-0.0054758308157100,-0.0069974840742120,-0.0070383287242328,-1704,-0.0346997373083267
061813603011,72305,2004,47187,-216,-0.0045566736282514,-0.0029808044638206,-0.0029824318970947,-710,-0.0148234753742406
061813603011,72305,2005,47054,-133,-0.0028185729120309,-0.0031311319864944,-0.0031326667796339,-744,-0.0155655048328382
061813603011,72305,2006,46854,-200,-0.0042504356696561,-0.0038849807840936,-0.0038856524831952,-921,-0.0192778649921507
061813603011,72305,2007,46706,-148,-0.0031587484526401,-0.0040520522956577,-0.0040525182737647,-958,-0.0200990265189661
061813603011,72305,2008,46694,-12,-0.0002569263049715,-0.0030082713935100,-0.0030094307723589,-709,-0.0149568592705103
061813603011,72305,2009,46737,43,0.0009208891934724,-0.0019127588291652,-0.0019146225130664,-450,-0.0095365248903300
061813603011,72305,2010,47243,506,0.0108265400004279,0.0008162637533265,0.0008020447576926,189,0.0040166617078251
061813603011,72305,2011,47231,-12,-0.0002540058844697,0.0016155497103638,0.0016040997455067,377,0.0080462713962522
061813603011,72305,2012,47180,-51,-0.0010797992843683,0.0020313395440182,0.0020215281184446,474,0.0101485890463752
061813603011,72305,2013,46854,-326,-0.0069097075031793,0.0007007833043766,0.0006843755071948,160,0.0034265644408275
061813603011,72305,2014,46568,-286,-0.0061040679557775,-0.0007042081254734,-0.0007242440543703,-169,-0.0036159787748465
