unit_id,parent_id,teryt_id,name,level,kind
023015922034,023015922033,3022034,Miejska Górka,6,4
023015922054,023015922053,3022054,Rawicz,6,4
023015929034,023015929033,3029034,Wolsztyn,6,4
023015963011,023015963000,3063011,Leszno,6,1
023016001011,023016001000,3001011,Chodzież,6,1
023016001024,023016001023,3001024,Budzyń,6,4
023016001044,023016001043,3001044,Margonin,6,4
023016001054,023016001053,3001054,Szamocin,6,4
023016002011,023016002000,3002011,Czarnków,6,1
023016002044,023016002043,3002044,Krzyż Wielkopolski,6,4
023016002074,023016002073,3002074,Trzcianka,6,4
023016002084,023016002083,3002084,Wieleń,6,4
023016019011,023016019000,3019011,Piła,6,1
023016019034,023016019033,3019034,Kaczory,6,4
023016019044,023016019043,3019044,Łobżenica,6,4
023016019074,023016019073,3019074,Ujście,6,4
023016019084,023016019083,3019084,Wyrzysk,6,4
023016019094,023016019093,3019094,Wysoka,6,4
023016028011,023016028000,3028011,Wągrowiec,6,1
023016028034,023016028033,3028034,Gołańcz,6,4
023016028054,023016028053,3028054,Skoki,6,4
023016031011,023016031000,3031011,Złotów,6,1
023016031024,023016031023,3031024,Jastrowie,6,4
023016031034,023016031033,3031034,Krajenka,6,4
023016031054,023016031053,3031054,Okonek,6,4
023016116014,023016116013,3016014,Oborniki,6,4
023016116024,023016116023,3016024,Rogoźno,6,4
023016121011,023016121000,3021011,Luboń,6,1
023016121021,023016121000,3021021,Puszczykowo,6,1
023016121034,023016121033,3021034,Buk,6,4
023016121084,023016121083,3021084,Kostrzyn,6,4
023016121094,023016121093,3021094,Kórnik,6,4
023016121104,023016121103,3021104,Mosina,6,4
023016121114,023016121113,3021114,Murowana Goślina,6,4
023016121124,023016121123,3021124,Pobiedziska,6,4
023016121144,023016121143,3021144,Stęszew,6,4
023016121164,023016121163,3021164,Swarzędz,6,4
023016124011,023016124000,3024011,Obrzycko,6,1
023016124054,023016124053,3024054,Ostroróg,6,4
023016124064,023016124063,3024064,Pniewy,6,4
023016124074,023016124073,3024074,Szamotuły,6,4
023016124084,023016124083,3024084,Wronki,6,4
023016125044,023016125043,3025044,Środa Wielkopolska,6,4
023016126024,023016126023,3026024,Dolsk,6,4
023016126034,023016126033,3026034,Książ Wielkopolski,6,4
023016126044,023016126043,3026044,Śrem,6,4
023016264011,023016264000,3064011,Poznań,6,1
023216301011,023216301000,3201011,Białogard,6,1
023216301034,023216301033,3201034,Karlino,6,4
023216301044,023216301043,3201044,Tychowo,6,4
023216308011,023216308000,3208011,Kołobrzeg,6,1
023216308034,023216308033,3208034,Gościno,6,4
023216309034,023216309033,3209034,Bobolice,6,4
023216309054,023216309053,3209054,Mielno,6,4
023216309064,023216309063,3209064,Polanów,6,4
023216309074,023216309073,3209074,Sianów,6,4
023216313011,023216313000,3213011,Darłowo,6,1
023216313021,023216313000,3213021,Sławno,6,1
023216361011,023216361000,3261011,Koszalin,6,1
023216402024,023216402023,3202024,Choszczno,6,4
023216402034,023216402033,3202034,Drawno,6,4
023216402054,023216402053,3202054,Pełczyce,6,4
023216402064,023216402063,3202064,Recz,6,4
023216403014,023216403013,3203014,Czaplinek,6,4
023216403024,023216403023,3203024,Drawsko Pomorskie,6,4
023216403034,023216403033,3203034,Kalisz Pomorski,6,4
023216403064,023216403063,3203064,Złocieniec,6,4
023216410014,023216410013,3210014,Barlinek,6,4
023216410034,023216410033,3210034,Dębno,6,4
023216410044,023216410043,3210044,Myślibórz,6,4
023216412034,023216412033,3212034,Lipiany,6,4
023216412054,023216412053,3212054,Pyrzyce,6,4
023216415011,023216415000,3215011,Szczecinek,6,1
023216415024,023216415023,3215024,Barwice,6,4
023216415034,023216415033,3215034,Biały Bór,6,4
023216415044,023216415043,3215044,Borne Sulinowo,6,4
023216416011,023216416000,3216011,Świdwin,6,1
023216416034,023216416033,3216034,Połczyn-Zdrój,6,4
023216417011,023216417000,3217011,Wałcz,6,1
023216417024,023216417023,3217024,Człopa,6,4
