teryt_id,name,year,group,base_area,base_perimeter,box_area,box_perimeter,rect_area,rect_perimeter,circ_radius,circ_area,conv_area,conv_perimeter,schwartzberg_radius,schwartzberg_circumference,schwartzberg,polsby_popper,reock,box,rectangle,convex_hull
1218093,Wadowice,2006,artificial_surfaces,10144936.721141,35372.861542,37005972.083262,24402.655735,32579624.397520,23685.363439,3920.143080,48278493.479251,23434261.253708,19323.351357,1797.006859,11290.927096,0.319197,0.101887,0.210134,0.274143,0.311389,0.432910
1809032,Horyniec-Zdrój,2006,artificial_surfaces,995723.952251,8606.962487,4686195.135001,8675.140000,2767881.970225,7355.018487,1333.540728,5586791.205743,2014354.059303,6350.766925,562.982040,3537.320485,0.410984,0.168908,0.178228,0.212480,0.359742,0.494314
0410023,Mrocza,2006,artificial_surfaces,1590889.496049,10150.155138,4469313.271498,8540.240000,3435040.684170,7815.375412,1377.055710,5957346.948156,2764713.953399,6902.291261,711.614962,4471.208675,0.440506,0.194046,0.267047,0.355958,0.463136,0.575426
2416102,Żarnowiec,2006,artificial_surfaces,927492.676101,10643.391479,12180390.254601,14022.300000,2828022.862090,10937.703917,2445.375624,18786290.340506,2162436.579801,10137.161763,543.350797,3413.973742,0.320760,0.102887,0.049371,0.076146,0.327965,0.428911
2261011,Gdańsk,2006,artificial_surfaces,76495185.240119,150337.999046,262698264.296381,64867.005702,195807762.402618,56577.373311,8982.383136,253473769.751250,160917724.704298,48960.319603,4934.488191,31004.303700,0.206231,0.042531,0.301787,0.291190,0.390665,0.475368
0417022,Dębowa Łąka,2006,artificial_surfaces,752142.228100,7021.094703,3244426.330196,7212.860000,2020803.370826,6290.324637,1122.534966,3958672.992638,1659498.298150,5404.689453,489.299813,3074.361396,0.437875,0.191734,0.189999,0.231826,0.372200,0.453235
1210042,Grybów,2006,artificial_surfaces,2376942.917610,17458.144623,6907088.710354,11674.223226,6389703.708802,11408.348647,2117.417060,14085189.310564,5280400.059514,10083.894983,869.830115,5465.303801,0.313052,0.098001,0.168755,0.344131,0.371996,0.450144
1402072,Opinogóra Górna,2006,artificial_surfaces,403614.117502,3009.932869,687891.348761,3351.674181,586169.264603,3121.418233,499.240114,783012.725138,479176.355814,2669.945368,358.433207,2252.102259,0.748223,0.559838,0.515463,0.586741,0.688562,0.842308
1004042,Grabów,2006,artificial_surfaces,854738.302550,6617.933692,1787795.358001,6077.920000,1613962.214561,5935.053657,1127.886836,3996510.224997,1291979.632450,5130.685450,521.604881,3277.340124,0.495221,0.245244,0.213871,0.478096,0.529590,0.661573
0618011,Tomaszów Lubelski,2006,artificial_surfaces,5812370.056910,21789.415101,12824334.173256,14504.603040,11778707.386557,13905.009753,2301.278083,16637500.268534,9663404.271442,12196.238173,1360.196622,8546.367432,0.392226,0.153841,0.349354,0.453230,0.493464,0.601483
2413052,Krupski Młyn,2006,artificial_surfaces,1101216.941533,10375.730511,3397713.065500,7416.640000,2962887.298646,6926.611916,1048.686750,3454947.358367,2230024.065201,5723.707118,592.054254,3719.986588,0.358528,0.128542,0.318736,0.324105,0.371670,0.493814
1435032,Rząśnik,2006,artificial_surfaces,993178.338523,10640.649525,5553184.215576,10408.627818,4831960.760328,10052.467171,1866.084070,10939873.081889,2951348.285750,8410.619261,562.261935,3532.795931,0.332009,0.110230,0.090785,0.178848,0.205544,0.336517
1418023,Konstancin-Jeziorna,2006,artificial_surfaces,11973003.805096,58305.466284,46779787.317446,27428.204848,35064606.394221,23837.400858,3770.823357,44670647.705054,28708949.696476,20444.791461,1952.210408,12266.099754,0.210376,0.044258,0.268028,0.255944,0.341456,0.417048
2214032,Morzeszczyn,2006,artificial_surfaces,1227758.568725,20215.259079,11814681.052404,21697.983981,4872567.817991,20335.659034,4832.569259,73367892.920355,4110075.331654,19582.721706,625.146135,3927.909011,0.194304,0.037754,0.016734,0.103918,0.251974,0.298719
1607073,Paczków,2006,artificial_surfaces,3601713.863708,22405.868224,30852868.396514,23009.290197,13742805.823931,18996.632319,3922.198787,48329140.853277,8607788.910237,17253.911639,1070.729252,6727.590301,0.300260,0.090156,0.074525,0.116738,0.262080,0.418425
3029012,Przemęt,2006,artificial_surfaces,2138746.833602,16597.701139,8012946.834595,11726.300000,7588724.524414,11326.197499,1880.591405,11110632.080030,5711154.759251,9444.216841,825.096516,5184.234308,0.312347,0.097560,0.192496,0.266911,0.281832,0.374486
2408011,Łaziska Górne,2006,artificial_surfaces,8705534.580886,39551.583545,21818536.241613,18710.758141,21287966.569909,18611.255636,2643.195038,21948674.274314,16970893.521155,15238.061059,1664.649429,10459.300834,0.264447,0.069932,0.396631,0.398997,0.408942,0.512969
1402052,Grudusk,2006,artificial_surfaces,701692.389351,6146.168688,2162418.717599,5938.040000,1673845.340049,5516.276432,958.270731,2884870.477423,1194231.747601,4534.022585,472.605147,2969.465713,0.483141,0.233425,0.243232,0.324494,0.419210,0.587568
1008011,Konstantynów Łódzki,2006,artificial_surfaces,7188658.958579,36788.062617,23744949.389537,20813.568823,22293752.623866,20307.508015,3527.887584,39100233.285935,17950804.548111,17425.685275,1512.686754,9504.491185,0.258358,0.066749,0.183852,0.302745,0.322452,0.400464
2010032,Dziadkowice,2006,artificial_surfaces,586774.909751,4887.061756,2024081.358002,5832.160000,1341999.413559,5139.157371,920.293707,2660742.077913,911001.718651,4438.220624,432.176185,2715.443055,0.555639,0.308735,0.220531,0.289897,0.437239,0.644099
1218082,Tomice,2006,artificial_surfaces,2050166.156406,15359.970335,6498305.402077,10329.670698,5057312.857964,9557.314721,1599.246415,8034903.111688,3966965.836727,8029.830094,807.829286,5075.741103,0.330453,0.109199,0.255158,0.315492,0.405386,0.516810
0208011,Duszniki-Zdrój,2006,artificial_surfaces,1475817.608655,9643.521945,4323373.309476,8696.121808,4312212.686749,8681.918730,1428.610040,6411760.161884,2777039.466574,7034.707115,685.395751,4306.468510,0.446566,0.199421,0.230174,0.341358,0.342241,0.531436
2401011,Będzin,2006,artificial_surfaces,13800679.229268,55761.130545,54083217.085038,29477.953154,35902135.735245,25608.680837,4489.655788,63325111.695357,28328453.894928,22189.332607,2095.922860,13169.071718,0.236169,0.055776,0.217934,0.255175,0.384397,0.487167
3202042,Krzęcin,2006,artificial_surfaces,702503.623550,5602.328554,1445969.023200,4816.660000,1390837.292941,4737.568942,739.818508,1719492.383416,1054686.129600,3942.714032,472.878260,2971.181733,0.530348,0.281269,0.408553,0.485836,0.505094,0.666078
2005011,Hajnówka,2006,artificial_surfaces,9271492.123710,26722.643622,19668465.966834,17854.836991,18471623.153145,17191.773353,2517.240869,19906706.849212,13848624.709410,13897.564889,1717.907914,10793.933767,0.403925,0.163155,0.465747,0.471389,0.501932,0.669488
1218022,Brzeźnica,2006,artificial_surfaces,1355998.678378,7383.496047,3137469.387776,7101.199831,3003291.256330,6972.497992,1051.392813,3472800.861037,1993974.205998,5646.804380,656.983854,4127.951301,0.559078,0.312568,0.390463,0.432195,0.451504,0.680048
0223073,Sobótka,2006,artificial_surfaces,2036094.412202,9330.052058,4510095.516523,8506.828551,3781040.347231,7915.090344,1187.290493,4428573.460992,2925867.146464,6493.144015,805.052160,5058.291904,0.542150,0.293927,0.459763,0.451453,0.538501,0.695894
2470011,Mysłowice,2006,artificial_surfaces,17844413.812767,80921.135218,100006206.544985,40003.752471,72494264.766068,36735.491002,6323.891649,125637334.327250,49304085.000270,30562.166864,2383.286246,14974.629123,0.185052,0.034244,0.142031,0.178433,0.246149,0.361926
