from,to,mode,name,description
023216604013,023216418013,1,Dobra,"zmiana przynależności gminy z powiatu goleniowskiego do łobeskiego"
023216604014,023216418014,1,Dobra - miasto,"zmiana przynależności gminy z powiatu goleniowskiego do łobeskiego"
023216604015,023216418015,1,Dobra - obszar wiejski,"zmiana przynależności gminy z powiatu goleniowskiego do łobeskiego"
023216614073,023216418023,1,Łobez,"zmiana przynależności gminy z powiatu stargardzkiego do łobeskiego"
023216614074,023216418024,1,Łobez - miasto,"zmiana przynależności gminy z powiatu stargardzkiego do łobeskiego"
023216614075,023216418025,1,Łobez - obszar wiejski,"zmiana przynależności gminy z powiatu stargardzkiego do łobeskiego"
023216605063,023216418043,1,Resko,"zmiana przynależności gminy z powiatu gryfickiego do łobeskiego"
023216605064,023216418044,1,Resko - miasto,"zmiana przynależności gminy z powiatu gryfickiego do łobeskiego"
023216605065,023216418045,1,Resko - obszar wiejski,"zmiana przynależności gminy z powiatu gryfickiego do łobeskiego"
023216614123,023216418053,1,Węgorzyno,"zmiana przynależności gminy z powiatu stargardzkiego do łobeskiego"
023216614124,023216418054,1,Węgorzyno - miasto,"zmiana przynależności gminy z powiatu stargardzkiego do łobeskiego"
023216614125,023216418055,1,Węgorzyno - obszar wiejski,"zmiana przynależności gminy z powiatu stargardzkiego do łobeskiego"
042214209023,042214216013,1,Dzierzgoń,"zmiana przynależności gminy z powiatu malborskiego do sztumskiego"
042214209024,042214216014,1,Dzierzgoń - miasto,"zmiana przynależności gminy z powiatu malborskiego do sztumskiego"
042214209025,042214216015,1,Dzierzgoń - obszar wiejski,"zmiana przynależności gminy z powiatu malborskiego do sztumskiego"
042214209113,042214216053,1,Sztum,"zmiana przynależności gminy z powiatu malborskiego do sztumskiego"
042214209114,042214216054,1,Sztum - miasto,"zmiana przynależności gminy z powiatu malborskiego do sztumskiego"
042214209115,042214216055,1,Sztum - obszar wiejski,"zmiana przynależności gminy z powiatu malborskiego do sztumskiego"
042815506093,042815519033,1,Węgorzewo,"zmiana przynależności gminy z powiatu giżyckiego do węgorzewskiego"
042815506094,042815519034,1,Węgorzewo - miasto,"zmiana przynależności gminy z powiatu giżyckiego do węgorzewskiego"
042815506095,042815519035,1,Węgorzewo - obszar wiejski,"zmiana przynależności gminy z powiatu giżyckiego do węgorzewskiego"
042815513023,042815518033,1,Gołdap,"zmiana przynależności gminy z powiatu olecko-gołdapskiego do gołdapskiego"
042815513024,042815518034,1,Gołdap - miasto,"zmiana przynależności gminy z powiatu olecko-gołdapskiego do gołdapskiego"
042815513025,042815518035,1,Gołdap - obszar wiejski,"zmiana przynależności gminy z powiatu olecko-gołdapskiego do gołdapskiego"
061813301043,061813321033,1,Lesko,"zmiana przynależności gminy z powiatu bieszczadzkiego do leskiego"
061813301044,061813321034,1,Lesko - miasto,"zmiana przynależności gminy z powiatu bieszczadzkiego do leskiego"
061813301045,061813321035,1,Lesko - obszar wiejski,"zmiana przynależności gminy z powiatu bieszczadzkiego do leskiego"
060611006082,060611003153,1,Rejowiec,"zmiana przynależności gminy z powiatu krasnostawskiego do chełmskiego"
060611003152,060611003153,1,Rejowiec,"zmiana przynależności gminy z powiatu krasnostawskiego do chełmskiego; zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
071427306102,071413018063,1,Tarczyn,"zmiana przynależności gminy z powiatu grójeckiego do piaseczyńskiego; zmiana rodzaju gminy z wiejskiego na miejsko-wiejski"
011212312021,012415001081,1,Sławków,"przeniesienie gminy z powiatu olkuskiego w woj. małopolskim do powiatu będzińskiego w woj. śląskim"
061813305102,011212416162,1,Szerzyny,"przeniesienie gminy z powiatu jasielskiego w woj. podkarpackim do powiatu tarnowskiego w woj. małopolskim"
071412912021,071412912151,1,Sulejówek,"zmiana symbolu gminy"
030210321091,030210365011,1,Wałbrzych,"zniesienie miasta na prawach powiatu; przywrócenie miastu wałbrzych statusu miasta na prawach powiatu"
030210363011,030210365011,1,Wałbrzych,"zniesienie miasta na prawach powiatu; przywrócenie miastu wałbrzych statusu miasta na prawach powiatu"
071412831001,071412865011,1,M.st.Warszawa,"zmiana ustroju miasta"
020811409102,020811462011,2,Zielona Góra,"połączenie miasta na prawach powiatu zielona góra z gminą zielona góra"
071412912031,999999999999,9,Wesoła,"zmiana przynależności gminy z powiatu mińskiego do warszawskiego; zniesienie gminy"
071412831011,999999999999,9,Warszawa - Bemowo do 2001,"zniesienie gminy"
071412831021,999999999999,9,Warszawa - Białołęka do 2001,"zniesienie gminy"
071412831031,999999999999,9,Warszawa - Bielany do 2001,"zniesienie gminy"
071412831041,999999999999,9,Warszawa - Centrum do 2001,"zniesienie gminy"
071412831121,999999999999,9,Warszawa - Rembertów do 2001,"zniesienie gminy"
071412831131,999999999999,9,Warszawa - Targówek do 2001,"zniesienie gminy"
071412831141,999999999999,9,Warszawa - Ursus do 2001,"zniesienie gminy"
071412831151,999999999999,9,Warszawa - Ursynów do 2001,"zniesienie gminy"
071412831161,999999999999,9,Warszawa - Wawer do 2001,"zniesienie gminy"
071412831171,999999999999,9,Warszawa - Wilanów do 2001,"zniesienie gminy"
071412831181,999999999999,9,Warszawa - Włochy do 2001,"zniesienie gminy"
071412831981,999999999999,9,Związek gmin dzielnic Warszawy do 2001,"zniesienie gminy"
071412831991,999999999999,9,GMINY-DZIELNICY WARSZAWY NIE USTALONO do 2001,"zniesienie gminy"
023216403042,999999999999,9,Ostrowice,"zniesienia gminy"
011212210001,999999999999,9,Miejska strefa usług publicznych,""
030210216001,999999999999,9,Miejska strefa usług publicznych,""
040416710001,999999999999,9,Miejska strefa usług publicznych,""
