fid,teryt_id,area
232,1821012,1457808.22230279
233,1821012,769313.908100694
234,1821012,307499.235149771
235,1821012,419940.477338545
236,2204082,273275.980300188
237,2204082,676577.468300968
238,2204082,818361.97350052
239,2204082,483499.291000754
240,2204082,1039672.75619972
241,2204082,406306.179200217
242,2204082,313540.354150653
243,2204082,430619.495900601
244,3021163,7054580.59914351
245,3021163,96.4622226376086
246,3021163,6786.75692496635
247,3021163,2358.23656043131
248,3021163,339302.486703651
249,3021163,386782.234110743
250,3021163,2439239.66075937
251,3021163,339571.054350078
252,3021163,1073484.6491129
253,3021163,520390.971599618
254,3021163,371850.425949395
255,3021163,2977.69810871035
256,3021163,260910.729850709
257,2811022,252797.553400785
258,2811022,1194212.7282
259,2811022,253334.161849663
260,2811022,14348.7892152071
261,2811022,259755.953649998
262,2811022,316040.537598521
263,2811022,701004.460951075
264,2008032,263568.698600292
265,2008032,250891.376100197
266,2008032,259735.018400192
267,2008032,255265.125450015
268,2008032,272827.987400293
269,2008032,263072.238800287
270,2008032,404482.695000291
271,2008032,387627.45310026
272,2008032,387681.840750709
273,2008032,608122.176750183
274,2008032,407358.285550321
275,2008032,261531.736650022
276,2008032,392607.488200098
277,1419092,1046890.54039961
278,1419092,670089.776641997
279,1419092,269293.752700686
280,0416042,251405.788949907
281,0416042,252763.900499552
282,0416042,495187.040449619
283,0416042,266585.623650491
284,0416042,261400.951949745
285,0416042,271954.918800168
286,0416042,756160.896199219
287,0416042,251472.237850547
288,3027052,50641.5712326169
289,3027052,308203.338500172
290,3027052,703356.931649148
291,3027052,322592.714949757
292,3027052,259913.911299691
293,3027052,576015.920850873
294,3027052,405967.265549347
295,1606052,318232.965200186
296,1606052,1343556.98120183
297,1606052,838912.868450493
298,1606052,474644.605700433
299,1606052,382263.877049321
300,1606052,1420469.96390542
301,1606052,631360.749300122
302,1606052,579049.843150184
303,1606052,333342.247199982
304,0803032,306264.933100246
305,0803032,536485.683449656
306,0803032,458954.214001402
307,0803032,286958.724549383
308,0803032,1137573.97784977
309,0803032,319997.049899846
310,0803032,316031.592199922
311,0803032,255042.215449784
312,3212062,378391.742299676
313,3212062,254982.260000512
