teryt_id,name,year,group,base_area,base_perimeter,box_area,box_perimeter,rect_area,rect_perimeter,circ_radius,circ_area,conv_area,conv_perimeter,schwartzberg_radius,schwartzberg_circumference,schwartzberg,polsby_popper,reock,box,rectangle,convex_hull
3209022,Biesiekierz,2006,artificial_surfaces,3196128.974772,28589.356263,44183954.973471,26594.720721,36252539.429496,25094.091206,4255.944874,56903877.492871,25630711.262798,20741.953767,1008.642380,6337.486981,0.221673,0.049139,0.056167,0.072337,0.088163,0.124699
3007062,Lisków,2006,artificial_surfaces,3243656.593313,34183.488041,53197153.305356,30508.750177,45798129.907409,30061.753463,5392.355105,91349640.224545,30972875.272205,24084.908230,1016.114148,6384.433483,0.186770,0.034883,0.035508,0.060974,0.070825,0.104726
0615042,Kąkolewnica,2006,artificial_surfaces,8735758.740634,86848.828162,184868738.261045,54386.702467,178216842.142599,53410.098796,7994.370682,200779069.007949,128338739.778852,43865.009828,1667.536617,10477.441574,0.120640,0.014554,0.043509,0.047254,0.049018,0.068068
2010062,Milejczyce,2006,artificial_surfaces,3788101.084801,33610.856729,110896887.707907,45904.800000,104373555.327548,45378.582138,8139.300610,208124903.710259,69345012.067098,36705.444982,1098.084708,6899.469701,0.205275,0.042138,0.018201,0.034159,0.036294,0.054627
1213062,Oświęcim,2006,artificial_surfaces,13500497.042786,117350.574885,152559337.426844,49975.699039,135258003.503009,46564.157952,7240.055891,164677289.566281,96560406.599428,38286.793318,2073.003058,13025.062354,0.110993,0.012319,0.081982,0.088493,0.099813,0.139814
0620052,Łabunie,2006,artificial_surfaces,4688259.115748,53124.641311,105243447.776297,41125.200104,89181367.135027,37947.601340,5806.662990,105926132.178300,63634030.374323,31391.288530,1221.605184,7675.571743,0.144482,0.020875,0.044260,0.044547,0.052570,0.073675
0210053,Olszyna,2006,artificial_surfaces,7628283.231798,57589.456595,44440633.924874,26680.208478,40522922.557023,25466.011780,4085.017431,52424910.876280,36313044.841109,22905.231185,1558.254783,9790.803554,0.170010,0.028904,0.145509,0.171651,0.188246,0.210070
0608042,Jeziorzany,2006,artificial_surfaces,1933251.972436,18593.408217,50306071.339706,28370.760000,44451978.867822,26822.913983,4293.018907,57899588.223998,28765966.974106,22360.992635,784.457274,4928.890420,0.265088,0.070272,0.033390,0.038430,0.043491,0.067206
1216133,Wojnicz,2006,artificial_surfaces,5529748.498093,51153.666788,73280974.988740,34570.570893,61272654.074617,32326.735903,5273.732917,87374788.183161,45426420.568351,27786.474172,1326.715348,8335.998382,0.162960,0.026556,0.063288,0.075460,0.090248,0.121730
0803063,Trzciel,2006,artificial_surfaces,4808988.558557,51603.825150,208340276.818321,57794.004139,202983117.781779,57053.754934,8355.777554,219342915.700337,151003857.966043,47235.671135,1237.234255,7773.772090,0.150643,0.022693,0.021925,0.023082,0.023692,0.031847
2604172,Nowiny,2006,artificial_surfaces,11116681.232007,79628.810949,90347108.517058,39526.911777,69812406.811265,36654.647614,6545.062955,134579071.992647,53792284.994742,30610.232893,1881.103277,11819.320470,0.148430,0.022032,0.082603,0.123044,0.159236,0.206659
0618112,Tomaszów Lubelski,2006,artificial_surfaces,9736946.649621,127847.281767,281728090.990107,69349.243651,267215379.623000,68493.121759,11351.275601,404798793.152698,174789479.493530,55969.330134,1760.501741,11061.558672,0.086522,0.007486,0.024054,0.034562,0.036439,0.055707
1405011,Milanówek,2006,artificial_surfaces,7524054.738389,24178.356162,16169498.456719,16165.692973,13843398.333272,15525.732758,2536.682278,20215385.251646,11148350.701075,12967.519709,1547.572618,9723.685534,0.402165,0.161737,0.372194,0.465324,0.543512,0.674903
